,structure_name,SurfArea,GrayVol,AvgThick,sub_id
23,lh_G_orbital,1501,5934,2.904,sub-0003
24,lh_G_pariet_inf-Angular,1135,4355,2.854,sub-0003
25,lh_G_pariet_inf-Supramar,1734,6498,3.014,sub-0003
26,lh_G_parietal_sup,2131,6420,2.416,sub-0003
27,lh_G_postcentral,1395,4125,2.327,sub-0003
28,lh_G_precentral,1340,5160,2.918,sub-0003
29,lh_G_precuneus,1616,5483,2.671,sub-0003
30,lh_G_rectus,602,2014,2.469,sub-0003
31,lh_G_subcallosal,388,1036,2.539,sub-0003
32,lh_G_temp_sup-G_T_transv,318,974,2.484,sub-0003
33,lh_G_temp_sup-Lateral,1170,5273,3.053,sub-0003
34,lh_G_temp_sup-Plan_polar,490,1934,3.493,sub-0003
35,lh_G_temp_sup-Plan_tempo,603,1788,2.751,sub-0003
36,lh_G_temporal_inf,1321,5247,2.999,sub-0003
37,lh_G_temporal_middle,1244,6016,3.277,sub-0003
38,lh_Lat_Fis-ant-Horizont,186,441,2.828,sub-0003
39,lh_Lat_Fis-ant-Vertical,292,633,2.721,sub-0003
40,lh_Lat_Fis-post,778,1571,2.522,sub-0003
41,lh_Pole_occipital,1208,2157,1.642,sub-0003
42,lh_Pole_temporal,1054,5072,3.307,sub-0003
43,lh_S_calcarine,1774,2506,1.714,sub-0003
44,lh_S_central,1711,2824,1.872,sub-0003
45,lh_S_cingul-Marginalis,643,1342,2.384,sub-0003
46,lh_S_circular_insula_ant,321,863,3.346,sub-0003
47,lh_S_circular_insula_inf,842,2057,2.886,sub-0003
48,lh_S_circular_insula_sup,987,2168,2.832,sub-0003
49,lh_S_collat_transv_ant,600,1476,2.632,sub-0003
50,lh_S_collat_transv_post,378,557,1.906,sub-0003
51,lh_S_front_inf,1244,2725,2.4,sub-0003
52,lh_S_front_middle,957,2203,2.36,sub-0003
53,lh_S_front_sup,1678,4386,2.621,sub-0003
54,lh_S_interm_prim-Jensen,169,415,2.749,sub-0003
55,lh_S_intrapariet&P_trans,1515,2990,2.244,sub-0003
56,lh_S_oc_middle&Lunatus,472,796,2.061,sub-0003
57,lh_S_oc_sup&transversal,674,1234,1.978,sub-0003
58,lh_S_occipital_ant,293,647,2.166,sub-0003
59,lh_S_oc-temp_lat,589,1290,2.473,sub-0003
60,lh_S_oc-temp_med&Lingual,1319,2707,2.323,sub-0003
61,lh_S_orbital_lateral,250,463,2.256,sub-0003
62,lh_S_orbital_med-olfact,535,1082,2.407,sub-0003
63,lh_S_orbital-H_Shaped,901,2506,2.862,sub-0003
64,lh_S_parieto_occipital,1259,2644,2.354,sub-0003
65,lh_S_pericallosal,691,981,2.163,sub-0003
66,lh_S_postcentral,1925,4222,2.451,sub-0003
67,lh_S_precentral-inf-part,1203,2833,2.576,sub-0003
68,lh_S_precentral-sup-part,667,1468,2.465,sub-0003
69,lh_S_suborbital,530,1173,2.417,sub-0003
70,lh_S_subparietal,659,1502,2.595,sub-0003
71,lh_S_temporal_inf,679,1772,2.752,sub-0003
72,lh_S_temporal_sup,3267,8118,2.595,sub-0003
73,lh_S_temporal_transverse,255,420,2.034,sub-0003
0,rh_G&S_frontomargin,543,1354,2.204,sub-0003
1,rh_G&S_occipital_inf,642,1700,2.45,sub-0003
2,rh_G&S_paracentral,792,2259,2.365,sub-0003
3,rh_G&S_subcentral,914,2606,2.646,sub-0003
4,rh_G&S_transv_frontopol,620,2357,2.865,sub-0003
5,rh_G&S_cingul-Ant,1759,5441,2.929,sub-0003
6,rh_G&S_cingul-Mid-Ant,863,2843,3.116,sub-0003
7,rh_G&S_cingul-Mid-Post,950,2818,2.836,sub-0003
8,rh_G_cingul-Post-dorsal,279,1199,2.936,sub-0003
9,rh_G_cingul-Post-ventral,166,549,2.592,sub-0003
10,rh_G_cuneus,1398,2805,1.812,sub-0003
11,rh_G_front_inf-Opercular,799,3419,3.142,sub-0003
12,rh_G_front_inf-Orbital,266,1225,3.158,sub-0003
13,rh_G_front_inf-Triangul,696,2625,2.795,sub-0003
14,rh_G_front_middle,2302,8658,2.695,sub-0003
15,rh_G_front_sup,3767,14695,3.073,sub-0003
16,rh_G_Ins_lg&S_cent_ins,398,1844,3.625,sub-0003
17,rh_G_insular_short,315,1860,3.896,sub-0003
18,rh_G_occipital_middle,993,3439,2.595,sub-0003
19,rh_G_occipital_sup,938,2415,2.115,sub-0003
20,rh_G_oc-temp_lat-fusifor,1042,3801,2.914,sub-0003
21,rh_G_oc-temp_med-Lingual,1593,3110,1.755,sub-0003
22,rh_G_oc-temp_med-Parahip,729,3413,3.529,sub-0003
23,rh_G_orbital,1666,6431,2.831,sub-0003
24,rh_G_pariet_inf-Angular,1427,5400,2.795,sub-0003
25,rh_G_pariet_inf-Supramar,1711,5999,2.865,sub-0003
26,rh_G_parietal_sup,1736,5385,2.43,sub-0003
27,rh_G_postcentral,1177,2938,2.032,sub-0003
28,rh_G_precentral,1361,5321,2.836,sub-0003
29,rh_G_precuneus,1528,4854,2.589,sub-0003
30,rh_G_rectus,584,2079,2.431,sub-0003
31,rh_G_subcallosal,368,668,1.888,sub-0003
32,rh_G_temp_sup-G_T_transv,229,893,2.825,sub-0003
33,rh_G_temp_sup-Lateral,1015,4644,3.298,sub-0003
34,rh_G_temp_sup-Plan_polar,582,2310,3.504,sub-0003
35,rh_G_temp_sup-Plan_tempo,513,1524,2.761,sub-0003
36,rh_G_temporal_inf,1554,6398,3.036,sub-0003
37,rh_G_temporal_middle,1582,6681,3.087,sub-0003
38,rh_Lat_Fis-ant-Horizont,289,707,2.734,sub-0003
39,rh_Lat_Fis-ant-Vertical,234,468,2.616,sub-0003
40,rh_Lat_Fis-post,886,1853,2.567,sub-0003
41,rh_Pole_occipital,2110,3868,1.708,sub-0003
42,rh_Pole_temporal,1176,5848,3.485,sub-0003
43,rh_S_calcarine,1593,2350,1.735,sub-0003
44,rh_S_central,1670,2732,1.842,sub-0003
45,rh_S_cingul-Marginalis,808,1819,2.499,sub-0003
46,rh_S_circular_insula_ant,398,1103,3.258,sub-0003
47,rh_S_circular_insula_inf,749,1752,2.816,sub-0003
48,rh_S_circular_insula_sup,887,2099,2.798,sub-0003
49,rh_S_collat_transv_ant,785,1974,2.62,sub-0003
50,rh_S_collat_transv_post,363,703,2.141,sub-0003
51,rh_S_front_inf,1348,2982,2.348,sub-0003
52,rh_S_front_middle,1420,3212,2.239,sub-0003
53,rh_S_front_sup,1575,4051,2.501,sub-0003
54,rh_S_interm_prim-Jensen,271,505,2.35,sub-0003
55,rh_S_intrapariet&P_trans,2352,5006,2.222,sub-0003
56,rh_S_oc_middle&Lunatus,400,628,1.893,sub-0003
57,rh_S_oc_sup&transversal,735,1319,1.918,sub-0003
58,rh_S_occipital_ant,383,739,2.261,sub-0003
59,rh_S_oc-temp_lat,552,1298,2.776,sub-0003
60,rh_S_oc-temp_med&Lingual,1233,2673,2.41,sub-0003
61,rh_S_orbital_lateral,382,751,2.17,sub-0003
62,rh_S_orbital_med-olfact,547,1043,2.259,sub-0003
63,rh_S_orbital-H_Shaped,801,2123,2.718,sub-0003
64,rh_S_parieto_occipital,1398,2835,2.181,sub-0003
65,rh_S_pericallosal,585,799,1.949,sub-0003
66,rh_S_postcentral,1509,2905,2.144,sub-0003
67,rh_S_precentral-inf-part,1012,2431,2.709,sub-0003
68,rh_S_precentral-sup-part,932,2027,2.415,sub-0003
69,rh_S_suborbital,189,357,2.329,sub-0003
70,rh_S_subparietal,661,1572,2.589,sub-0003
71,rh_S_temporal_inf,847,1652,2.463,sub-0003
72,rh_S_temporal_sup,3475,8333,2.579,sub-0003
73,rh_S_temporal_transverse,163,336,2.668,sub-0003
0,lh_G&S_frontomargin,852,2137,2.277,sub-0004
1,lh_G&S_occipital_inf,1031,2763,2.349,sub-0004
2,lh_G&S_paracentral,1085,3341,2.462,sub-0004
3,lh_G&S_subcentral,1224,3658,2.728,sub-0004
